qty,value,footprint,refs
1,KBP410G,Bridge_KBP_P3.81mm,BR1
2,1000uF/50V,CP_Radial_D12.5mm_P5.00mm,C_filt1 C_filt2
1,2200uF/35V,CP_Radial_D16.0mm_P7.50mm,C_out
1,4700uF/50V,CP_Radial_D18.0mm_P7.50mm,C_main
2,10uF,CP_Radial_D5.0mm_P2.00mm,C_dc_blk C_rec_byp
2,10uF/25V,CP_Radial_D5.0mm_P2.00mm,C_s1 C_s2
1,10uF/50V,CP_Radial_D5.0mm_P2.00mm,C_byp2
1,1uF,CP_Radial_D5.0mm_P2.00mm,C_rev1
1,22uF/25V,CP_Radial_D5.0mm_P2.00mm,C_gain
1,10uF/25V,CP_Radial_D5.0mm_P2.50mm,C_reg_out1
1,10uF/50V,CP_Radial_D5.0mm_P2.50mm,C_reg_in
2,47uF/25V,CP_Radial_D6.3mm_P2.50mm,C_vbr C_vbt
7,100nF,C_1206_3216Metric,C_byp1 C_cpl12 C_drvin C_mrb_in C_mrb_out C_reg_out2 C_rev4
1,100pF,C_1206_3216Metric,C_pres
2,10nF,C_1206_3216Metric,C_cut C_rev2
4,10nF/100V,C_1206_3216Metric,C101 C102 C103 C104
1,1nF,C_1206_3216Metric,C_fb_hf
1,470pF,C_1206_3216Metric,C_treble
1,47nF,C_1206_3216Metric,C_in_pre
1,47nF (opt),C_1206_3216Metric,C_mrb_750
1,68nF,C_1206_3216Metric,C_mrb_600
1,100nF,C_1210_3225Metric,C_zobel
1,120nF (opt),C_1210_3225Metric,C_mrb_450
6,1uF,C_1210_3225Metric,C_drymix C_in_pa C_lfo1 C_lfo2 C_obuf_in C_wetmix
2,TL072CP,DIP-8_W7.62mm,IC1 IC2
2,1N4007,D_SMA,D1 D2
2,1N4148,D_SOD-123,D_lfo1 D_lfo2
1,1A SB,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,F1
1,1H toroid,Inductor_MRB_1H_Toroid,L1
1,3mm red,LED_D3.0mm,LED_rate
12,100k,R_0805_2012Metric,R_drv1 R_drymix R_fs_mrb R_fs_rev R_fs_trem R_mixfb R_obuf_b R_vbr1 R_vbr2 R_vbt1 R_vbt2 R_wetmix
1,10R,R_0805_2012Metric,R_drv3
8,10k,R_0805_2012Metric,R_d1 R_d2 R_drv2 R_fx_pad R_lfo_fb1 R_mrb_ser R_rec1 R_trem1
2,15k,R_0805_2012Metric,R_lfo_ser R_lfo_sh
3,1M,R_0805_2012Metric,R_g1 R_g2 R_rec_bias
2,1k,R_0805_2012Metric,R_gain R_led
1,2.2k,R_0805_2012Metric,R_led_diag
1,220k,R_0805_2012Metric,R_drvbias
3,22k,R_0805_2012Metric,R_bias1 R_bias2 R_fb
1,240R,R_0805_2012Metric,R_reg1
1,4.7k,R_0805_2012Metric,R_lfo_fb2
1,3.09k,R_1206_3216Metric,R_reg2
1,10R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,R_zobel
3,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,R_rec2 R_s1 R_s2
1,0R,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,R_spk_rtn
1,100R/1W,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,R_27V
1,10k/5W,R_Axial_Power_L20.0mm_W6.4mm_P25.40mm,R_bleed
3,MMBF5457,SOT-23,Q1 Q2 Q_rec
1,LM317T,TO-220-3_Vertical,U1
1,LM1875T,TO-220-5_Vertical_P1.70mm_LM1875,IC_PA
26,test point (label = net),TestPoint_THT_D2.0mm_Label,TP_17V TP_33V5 TP_BLEND TP_GND_PA TP_GND_PRE TP_GND_PSU TP_GND_REV TP_GND_TREM TP_LFO TP_MRB_OUT TP_PA_BIAS TP_PA_IN TP_PA_OUT TP_PRE_OUT TP_Q1D TP_Q2D TP_QRD TP_SPK TP_TANK_IN TP_TANK_OUT TP_TONE_OUT TP_TREM_OUT TP_VBIAS_R TP_VBIAS_T TP_VRAW TP_VREG_IN
1,VTL5C1,VTL5C1,VTL1
1,IN3 / FX return,WirePad_1x02_P2.54mm_D1.2mm,J_IN3
1,Input 1,WirePad_1x02_P2.54mm_D1.2mm,J_IN1
1,Input 2,WirePad_1x02_P2.54mm_D1.2mm,J_IN2
1,10in Bulldog,WirePad_1x02_P5.08mm_D1.5mm,LS1
2,100k lin,WirePad_1x03_P2.54mm_D1.2mm,POT_DPT POT_TONE
2,250k lin dual,WirePad_1x03_P2.54mm_D1.2mm,POT_SPD_A POT_SPD_B
1,250k log,WirePad_1x03_P2.54mm_D1.2mm,POT_VOL
1,reuse,WirePad_1x03_P2.54mm_D1.2mm,POT_REV
1,reuse / AnTek AS-0524,WirePad_1x03_P5.08mm_D1.5mm,T1
1,4FB2A1C,WirePad_1x04_P2.54mm_D1.2mm,REV1
1,DIN-6,WirePad_1x06_P2.54mm_D1.2mm,FS1
