# GENERATED from the schematic by kicad/gen/gen_bom.py -- do not hand-edit.
# Electrical rows are 1:1 with the KiCad netlist; mechanical/off-board items follow.
ref,description,value,footprint,digikey_pn,mouser_pn,qty,notes
C_mrb_450,Capacitor (film/ceramic),120nF (opt),C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_mrb_600,Capacitor (film/ceramic),68nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_mrb_750,Capacitor (film/ceramic),47nF (opt),C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_mrb_in,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_mrb_out,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
L1,MRB tank inductor (reused/off-board),1H toroid,Inductor_MRB_1H_Toroid,,,1,"reuse original ~1H, or 2x 0.5H Fasel"
R_fs_mrb,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_mrb_ser,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
TP_MRB_OUT,Test point (header pin or wire loop),MRB,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
C_byp1,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_byp2,Capacitor (electrolytic),10uF/50V,CP_Radial_D5.0mm_P2.00mm,,,1,
C_fb_hf,Capacitor (film/ceramic),1nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_gain,Capacitor (electrolytic),22uF/25V,CP_Radial_D5.0mm_P2.00mm,,,1,
C_in_pa,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_out,Capacitor (electrolytic),2200uF/35V,CP_Radial_D16.0mm_P7.50mm,,,1,REQUIRED for single-supply (errata #7)
C_zobel,Capacitor (film/ceramic),100nF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
D1,Diode,1N4007,D_SMA,,,1,S1M (1 kV 1 A SMA) replaces 1N4007; was: output clamp
D2,Diode,1N4007,D_SMA,,,1,S1M (1 kV 1 A SMA) replaces 1N4007; was: output clamp
IC_PA,Power amplifier,LM1875T,TO-220-5_Vertical_P1.70mm_LM1875,LM1875T/NOPB-ND,926-LM1875T/NOPB,1,Single-source (TI) - buy a spare. Heatsink <=2.5 C/W + mica; NOT socketed
R_bias1,Resistor,22k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
