Comment,Designator,Footprint,LCSC Part #
100nF,"C_byp1,C_byp3,C_cpl12,C_drvin,C_mrb_in,C_mrb_out,C_reg_out2,C_rev4,C_zobel",C_1206_3216Metric,
100pF,"C_pres,C_rf1,C_rf2",C_1206_3216Metric,
10nF,C_rev2,C_1206_3216Metric,
10nF/100V,"C101,C102,C103,C104",C_1206_3216Metric,
1nF,C_fb_hf,C_1206_3216Metric,
1uF,"C_cpl_out,C_drymix,C_in_pa,C_lfo1,C_lfo2,C_obuf_in,C_tout,C_wetmix",C_1206_3216Metric,
2.2nF,"C_gg,C_j3,C_j4",C_1206_3216Metric,
22nF,"C_j1,C_j2,C_res",C_1206_3216Metric,
470pF,C_treble,C_1206_3216Metric,
47nF,C_in_pre,C_1206_3216Metric,
68nF,C_mrb_600,C_1206_3216Metric,
1N4007,"D1,D2",D_SMA,
100R,"R_c,R_pre",R_0805_2012Metric,
100k,"R_drv1,R_drymix,R_fs_mrb,R_fs_rev,R_fs_trem,R_mixfb,R_obuf_b,R_vb31,R_vb32,R_vbr1,R_vbr2,R_vbt1,R_vbt2,R_wetmix",R_0805_2012Metric,
10R,R_drv3,R_0805_2012Metric,
10k,"R_b2,R_d1,R_d2,R_drv2,R_fx_pad,R_j1,R_j2,R_lfo_fb1,R_mid,R_mk1,R_mk2,R_mrb_ser,R_rec1,R_trem1",R_0805_2012Metric,
15k,"R_lfo_ser,R_lfo_sh",R_0805_2012Metric,
180k,"R_b1,R_gg",R_0805_2012Metric,
1M,"R_g1,R_g2,R_inb,R_rec_bias",R_0805_2012Metric,
1k,"R_gain,R_j4,R_rf1,R_rf2",R_0805_2012Metric,
220k,R_drvbias,R_0805_2012Metric,
22k,"R_bias1,R_bias2,R_bias3,R_fb",R_0805_2012Metric,
240R,R_reg1,R_0805_2012Metric,
4.7k,"R_gL,R_lfo_fb2",R_0805_2012Metric,
470R,R_e,R_0805_2012Metric,
68k,R_j3,R_0805_2012Metric,
3.09k,R_reg2,R_1206_3216Metric,
MMBF5457,"Q1,Q2,Q_rec",SOT-23,
2N3904,Q_trem,SOT-23_MMBT3904_as_EBC,
