Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10nF/100V","C_1206_3216Metric",105.305800,-75.235000,0.000000,top
"C102","10nF/100V","C_1206_3216Metric",110.355800,-75.235000,0.000000,top
"C103","10nF/100V","C_1206_3216Metric",115.405800,-75.235000,0.000000,top
"C104","10nF/100V","C_1206_3216Metric",120.455800,-75.235000,0.000000,top
"C_byp1","100nF","C_1206_3216Metric",95.360700,-64.595000,0.000000,top
"C_byp3","100nF","C_1206_3216Metric",19.742600,-52.700000,0.000000,top
"C_cpl12","100nF","C_1206_3216Metric",12.135000,-24.025000,0.000000,top
"C_cpl_out","1uF","C_1206_3216Metric",8.325000,-31.500000,0.000000,top
"C_drvin","100nF","C_1206_3216Metric",64.277000,-61.500000,0.000000,top
"C_drymix","1uF","C_1206_3216Metric",43.422200,-67.950000,0.000000,top
"C_fb_hf","1nF","C_1206_3216Metric",97.310700,-61.145000,0.000000,top
"C_gg","2.2nF","C_1206_3216Metric",12.135000,-62.300000,0.000000,top
"C_in_pa","1uF","C_1206_3216Metric",80.370700,-58.395000,0.000000,top
"C_in_pre","47nF","C_1206_3216Metric",20.404600,-18.075000,0.000000,top
"C_j1","22nF","C_1206_3216Metric",25.960200,-43.100000,0.000000,top
"C_j2","22nF","C_1206_3216Metric",25.960200,-45.850000,0.000000,top
"C_j3","2.2nF","C_1206_3216Metric",25.960200,-53.300000,0.000000,top
"C_j4","2.2nF","C_1206_3216Metric",25.960200,-56.050000,0.000000,top
"C_lfo1","1uF","C_1206_3216Metric",39.612200,-39.025000,0.000000,top
"C_lfo2","1uF","C_1206_3216Metric",34.562200,-39.025000,0.000000,top
"C_mrb_600","68nF","C_1206_3216Metric",62.362200,-18.675000,0.000000,top
"C_mrb_in","100nF","C_1206_3216Metric",62.362200,-13.575000,0.000000,top
"C_mrb_out","100nF","C_1206_3216Metric",62.362200,-26.925000,0.000000,top
"C_obuf_in","1uF","C_1206_3216Metric",44.662200,-41.375000,0.000000,top
"C_pres","100pF","C_1206_3216Metric",16.425000,-27.475000,0.000000,top
"C_reg_out2","100nF","C_1206_3216Metric",138.135800,-75.235000,0.000000,top
"C_res","22nF","C_1206_3216Metric",8.325000,-59.550000,0.000000,top
"C_rev2","10nF","C_1206_3216Metric",69.327000,-63.850000,0.000000,top
"C_rev4","100nF","C_1206_3216Metric",52.282200,-67.950000,0.000000,top
"C_tout","1uF","C_1206_3216Metric",20.995000,-62.300000,0.000000,top
"C_treble","470pF","C_1206_3216Metric",26.045000,-62.300000,0.000000,top
"C_wetmix","1uF","C_1206_3216Metric",34.562200,-67.950000,0.000000,top
"C_zobel","100nF","C_1206_3216Metric",80.370700,-61.145000,0.000000,top
"D1","1N4007","D_SMA",81.615700,-65.195000,0.000000,top
"D2","1N4007","D_SMA",89.110700,-65.195000,0.000000,top
"FID1","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",12.000000,-4.000000,0.000000,top
